????abandon,/ ?’b?nd?n/                                             ,vt.丢弃；放弃，抛弃
　　aboard,/ ?’b?:d/                                             ,ad.在船(车)上；上船
　　absolute,/ ‘?bs?lu:t/                                             ,a.绝对的；纯粹的
　　absolutely,/ ‘?bs?lu:tli/                                             ,ad.完全地；绝对地
　　absorb,/ ?b’s?:b/                                             ,vt.吸收；使专心
　　abstract,/ ’?bstr?kt/                                             ,n.摘要
　　abundant,/ ?’bΛnd?nt/                                             ,a.丰富的；大量的
　　abuse,"/ ?’bju:z, ?’bju:s/                                             ",vt.滥用；虐待 n.滥用
　　academic,/ ?k?’demik/                                             ,a.学院的；学术的
　　accelerate,/ ?k’sel?reit/                                             ,vt.(使)加快；促进
　　access,/ ‘?kses/                                             ,n.接近；通道，入口
　　accidental,/ ?ksi’dentl/                                             ,a.偶然的；非本质的
　　accommodate,/ ?’k?m?deit/                                             ,vt.容纳；供应，供给
　　accommodation,"/ ?,k?m?’dei??n/                                             ",n.招待设备；预定铺位
　　accompany,/ ?’kΛmp?ni/                                             ,vt.陪伴，陪同；伴随
　　accomplish,/ ?’k?mpli?/                                             ,vt.达到(目的)；完成
　　accordance,/ ?’k?r:d?ns/                                             ,n.一致；和谐；授予
　　accordingly,/ ?’k?r:di?li/                                             ,ad.因此，所以；照着
　　account,/ ?’kaunt/                                             ,n.记述；解释；帐目
　　accumulate,/ ?’kju:mjuleit/                                             ,vt.积累 vi.堆积
　　accuracy,/ ‘?kjur?si/                                             ,n.准确(性)；准确度
　　accurate,/ ‘?kjurit/                                             ,a.准确的，正确无误的
　　accustomed,/ ?’kΛst?md/                                             ,a.惯常的；习惯的
　　acid,/ ‘?sid/                                             ,n.酸；酸的，酸性的
　　acquaintance,/ ?’kweint?ns/                                             ,n.认识；了解；熟人
　　acquire,/ ?’kwai?/                                             ,vt.取得；获得；学到
　　acre,/ ‘eik?/                                             ,n.英亩(=6.07亩)
　　adapt,/ ?’d?pt/                                             ,vt.使适应；改编
　　addition,/ ?’di??n/                                             ,n.加，加法；附加物
　　additional,/ ?’di??nl/                                             ,a.附加的，追加的
　　address,/ ?’dres/                                             ,n.地址；演说；谈吐
　　adequate,/ ‘?dikwit/                                             ,a.足够的；可以胜任的
　　adjust,/ ?’d?Λst/                                             ,vt.调整，调节；校正
　　administration,/ ?dminis’trei??n/                                             ,n.管理；管理部门
　　admission,/ ?d’mi??n/                                             ,n.允许进入；承认
　　admit,/ ?d’mit/                                             ,vt.承认；准许…进入
　　advance,/ ?d’va:ns/                                             ,vi.前进；提高 n.进展
　　advanced,/ ?d’va:nst/                                             ,a.先进的；高级的
　　adventure,/ ?d’vent??/                                             ,n.冒险；惊险活动
　　advisable,/ ?d’vaiz?bl/                                             ,n.明智的；可取的
　　affair,/ ?’fe?/                                             ,n.事情，事件；事务
　　affect,/ ?’fekt/                                             ,vt.影响；感动
　　affection,/ ?’fek??n/                                             ,n.慈爱，爱；爱慕
　　afford,/ ?’f?r:d/                                             ,vt.担负得起…；提供
　　afterward,/ ‘a:ft?w?d(z)/                                             ,ad.后来，以后
　　age,/ eid?/                                             ,vt.变老
　　aggressive,/ ?’gresiv/                                             ,a.侵略的；好斗的
　　aircraft,/ ‘e?kra:ft/                                             ,n.飞机，飞行器
　　alarm,/ ?’la:m/                                             ,n.惊恐，忧虑；警报
　　alcohol,/ ‘?lk?h?l/                                             ,n.酒精，乙醇
　　alike,/ ?’laik/                                             ,a.同样的，相同的
　　alloy,"/ ‘?l?i, ?’l?i/                                             ",n.合金；(金属的)成色
　　alphabet,/ ‘?lf?bit/                                             ,n.字母表，字母系统
　　alter,/ ‘?:lt?/                                             ,vt.改变，变更；改做
　　alternative,/ ?:l’t?:n?tiv/                                             ,n.替换物；取舍，抉择
　　altitude,/ ‘?ltitju:d/                                             ,n.高，高度；高处
　　aluminium,/ ?lju’minj?m/                                             ,n.铝
　　amaze,/ ?’meiz/                                             ,vt.使惊奇，使惊愕
　　ambulance,/ ‘?mbjul?ns/                                             ,n.救护车；野战医院
　　amongst,/ ?’mΛ?st/                                             ,prep在…之中(=among)
　　amuse,/ ?’mju:z/                                             ,vt.逗…乐；给…娱乐
　　analyse,/ ‘?n?laiz/                                             ,vt.分析，分解，解析
　　analysis,/ ?’n?l?sis/                                             ,n.分析，分解，解析
