单词,释义
abandoned,adj.被抛弃了的，被遗弃了的，被放弃了的；放荡的，堕落皿
abundance,n.丰富
accidental,adj.偶然的；非本质的
accommodate,v.向…提供住夿或膳宿；给…提供方便；容纳；使适应，顺庿
accord,v.相一致；相符合；授予，赠丿 n.一致，符合＿尤指国与国之间的)谅解
accordance,n.符合；和谐；授予
accuracy,n.准确(怿；准确度
ache,n.疼痛 v.觉得疼痛；渴朿
additional,adj.附加的，追加皿
advanced,adj.先进的，高级皿
adverb,n.副词（缩写形式为adv.＿
aerial,adj.飞机的，航空的，由飞机进行的；空中的，架空的 n. 天线
agenda,n.议事日程
aid,v.帮助，援势 n. 帮助；助手；辅助物，辅助手段
alliance,n.联盟，同盿
allocate,v.分配，配绿
alloy,n.合金 v.使成合金
ally,n.同盟国，同盟者；支持耿 v.(with)(使结盟＿使联合
ambitious,adj.有抱负的，雄心勃勃的，有野心皿
anyhow,adv.不论用何种方法，无论如何；随意地
apparent,adj.表面上的，貌伿真实)的；显然的，明白的，清晰可见皿
applaud,v.鼓掌；喝彩；称赞
applicant,n.申请人，请求耿
appoint,v.委派，任命；约定，确定，指定
approximate,adj.近似的，约略皿 v.接近，近伿
article,n.物品；文章；条款；冠诿
artistic,adj.艺术的；艺术家的
assembly,n.集合；集会；装配
atom,n.原子；微粒；原子胿
aviation,n.航空，航空学；飞机制造业
awkward,adj.笨拙的，难操纵的；尴尬的
baffle,v.阻碍，使困惑 n.挡板
bankrupt,adj.破产的，彻底失败的；彻底缺乏皿 n.破产耿 v. 使破产，使枯竿
barn,n.谷仓，牲口棚
basin,n.盆，洗脸盆；盆地
beard,n.(下巴上的)胡须
beggar,n.乞丐；家伿
beloved,adj.所钟爱的，受爱戴的；心爱的 n. 爱人
beneath,prep.在…下斿
bid,v.出价，投标；问候，道别，吩咿 n.投标；努力争叿
blade,n.刀刃，刀片；叶片，似叶片的东西
blast,n.一阵（疾风等）；爆炸气浪；巨响 v.(用炸荿炸，摧毁
bore,v.钻孔；使厌烦 n.孔；口径；惹人厌烦的亿
bounce,v.反跳，弹起；跳起
bound,adj.受约束；有义务；一定的 v.束缚；使跳跃 n. 范围；跳跿
brass,v.仿欿 adj.黄铜皿 n.黄铜(噿＿叿厚脸皮；高级将领官员
breadth,n.宽度，幅度；幅面
brow,n.额；眉，眉毛
bulk,adj.大量皿 n.容量，体积；大块
butcher,n.屠夫，残杀耿 v.屠宰，屠杀
casualty,n.伤亡人员；死伤者，受害亿
cheat,v.骗，哄；作弊 n.欺骗；骗子，骗术
cheek,n.面颊，脸蛿
chronic,adj.(疾病)慢性的＿亿久病的；积习难改的；长久的；严重皿
circumference,n.圆周，圆周长庿
civilian,n.平民，百姿 adj.平民的，百姓的，民用皿
clause,n.条款；从叿
cliff,n.悬崖，峭壿
clothe,v.穿衣
cognitive,adj.认知的，认识能力皿
collective,adj.集体的，集合性的
colony,n.殖民地；侨居圿
commander,n.司令官，指挥呿
communism,n.共产主义
compensate,v.赔偿，补偿
competition,n.比赛；竞亿
comprehensive,adj.综合的；理解的；广泛皿 n. 综合学校；专业综合测骿
comprise,v.包含，包括；构成
compromise,n.妥协；折丿 v.妥协；使遭受危害
concede,v.(不情愿地)承认，承认…为眿或正硿；承认失败；让步
concession,n.让步；特许，特许权；承认
confine,v. 限制；禁闿
conform,v.符合，遵从；一臿
confusion,n.困惑，混淆；混乱
conquer,v.征服，攻克；破除
conquest,n.攻取，征服；克服
consciousness,n.意识，知觉；觉悟
consequent,adj.作为结果(或后枿的，随之发生皿
consideration,n.考虑，思考；体贴
console,v.安慰，慰闿 n.控制台，仪表板；落地柿
continuity,n.连续怿
controversial,adj.引起争论的，有争议的
conventional,adj.普遍的；普通的，一般的，常规的；习惯的，惯用的
conversely,adv.相反地，逆地
conviction,n.定罪；坚定的信仰；信朿
cop,n.警察 v.抓住；获得；偷窃
correspondence,n.通信，通信联系；信件，函件；符合，一致；相似
correspondent,n.通讯员，记耿
courtyard,n.庭院；院子；天井
courtesy,n.礼貌，谦恿
creep,v.慢慢地悄悄地移动＿时间、年线悄悄过去；蔓廿
critic,n.评论家，批判者，挑剔的人
cruel,adj.残忍的，残酷皿
cue,n.提示；暗示，信号；球板 v.提示，暗礿
damp,adj.潮湿的，有湿气的
dawn,n.黎明；开姿 v.破晓
deadly,adj.致命的；致死的；十足皿 adv.死一般地；非帿
deceit,n.欺骗，欺诿
decent,adj. 过得去的，适合的；大方的；得体皿
declaration,n.宣布，宣告；宣言，声昿乿
deduce,v.演绎；推论，推断
upright,adj.垂直的，直立的；正直皿
upward,adj.向上的，上升的　
sister,n.姐妹，姐，妹，女会员，修奿 adj.姐妹皿
spacecraft,n.航天器，宇宙飞船
bench,n.长凳，条凳，(工作)台，庿
downward,adj.向下的　　 adv.向下
technology,n. 技术，工艺
slice,n. 薄片，切牿 v. 切成薄片，切
parallel,adj. 平行的，相似皿 n. 相似物，平行线 v. 丿..平行，与...匹配
wooden,adj.木制的；呆笨皿
shear,v.剪；剥夺 n.剪刀
scissors,n. 剪刀
carpenter,n.木工，木匿
technique,n.技巧，技能，技艿
craft,n.手工艺，技艺，手工制品
sow,n.母猪 v.播种
nineteen,num.十九，十九个
vertical,adj.垂直的，竖式皿 n.垂直线
skilled,adj.(in)熟练的，有技能的，需要技能的
organism,n.微生物；生物体；有机使
deed,n.行为；功绩；契约
deepen,v.深化，加淿
defect,n.欠缺，缺炿 v.背叛，逃跑，开小差
deficiency,n.缺乏，不足；缺陷
definite,adj.明确的；肯定皿
delegate,v.委派…为代表，授板 n.代表
delegation,n.授权；委托；代表囿
density,n.密集，稠密；密度
depression,n.抑郁，沮丧；不景气，萧条(朿；洼地，凹陷
deputy,n. 副手；代表，代理亿
desirable,adj.理想的，值得拥有的；性感迷人皿
despair,n.绝望 v.丧失信心
destination,n.目的地，终点；目栿
destructive,adj. 破坏(怿的，毁灭(怿皿
detection,n.侦察；察觉；检测，检骿
detective,n.侦探，私人侦掿
determination,n.决定；确定；决心
devise,v.设计，想凿
dew,n.露，露水
distinction,n.优秀；差别；区分
dread,n.畏惧，恐惿 v.惧怕，害怿
drought,n.干旱，旱灿
durable,adj.耐用的，长久皿 n. 耐用哿
editorial,adj.编辑的，编者的；主笔的；社论的，社论式皿 n.(报刊皿社论；重要评访
elastic,adj.有弹性的，有伸缩性的 n.松紧帿
endurance,n.忍耐力，耐用庿
energetic,adj.精力充沛的，充满活力的；有力的，积极皿
enthusiasm,n.热情，热心，热忱
envy,n.妒忌，妒忌的对象 v.嫉妒，羡慿
equality,n.同等，平等；相等
equation,n.方程(弿；等弿
evaporate,v.使蒸发，使脱水，消失
evolve,v.使进化；使发屿
excess,n.超越，超迿 adj.额外的，附加皿
exclusive,adj.独有的，奢华的；排外皿
excursion,n.远足；短途旅衿
experimental,adj.实验的，试验皿
explode,v.(使爆炸；爆发，发怿
exploit,v.剥削；开拓，开釿 n.英雄行为，辉煌功绿
explosion,n.爆炸；爆发；激墿
explosive,n.炸药 adj.爆炸皿
extensive,adj.广阔的；广泛皿
external,adj.外面的，外部皿
farewell,n.再见；告别，离别 adj.告别皿
fascinating,adj.迷人的，有极大吸引力皿
fleet,n.舰队，船队adj. 迅速的 v. 快速通过
flock,n.(鸟兽)群；一群人＿对牧师而言皿教徒
forge,n.锻工车间；铁匠店；熔炿 v.锻造；经锻炼而形成；伪逿
fraction,n.部分，片断，碎片；分敿
frustrate,v.使灰心；挫败；阻挿
fuss,n.大惊小怪，小题大做 v.(为小亿烦恼，过于忧虿
gene,n.基因
genius,n.天才；天资，天赋；才卿
governor,n.州长；主管人呿
grace,n.优美，文雅；雅致
graceful,adj.优美的，优雅皿
grim,adj.严酷的，无情的；令人沮丧的，令人失望的；讨厌的，糟糕皿
grind,v.磨碎，碾碎；折磨，摩擦得吱吱作响 n.苦差事，苦活儿
grocer,n.食品商；杂货啿
gymnasium,n.体育馆，健身房
harden,v.(使变硬
hardship,n.艰难，困苿
haste,n.匆忙；草率　　 v.赶快；匆忙　　
heaven,n.天空，天堿
heighten,v.增加，提高，加强
helpless,adj.无助的，不受保护的；无能为力的；无法控制的，无法抑制皿
herd,n.兽群，牧羿 v.放牧
historic,adj.历史上著名的，有历史意义的；历史性的
historical,a.历史的，有关历史皿
horizontal,adj.水平皿
hut,n.小屋，棚屿
ignorant,adj.不知道的；无知的
imaginary,adj.想象中的，假想的
imaginative,adj.想象的，有想象力皿
impressive,adj.给人深刻印象的；惊人皿
indication,n.指示；表示，表明
indifferent,adj.不感兴趣的，不关心的；平庸的；冷漠的
infect,v.传染，感染；受影哿
inherit,v.继承，经遗传而得(特性等)；接受遗产；成为继承亿
