alter, 改变，改动，变更 
burst,",n 突然发生，爆裂 "
dispose, 除掉；处置；解决；处理(of) 
blast, 爆炸；气流 vi 炸，炸掉 
consume, 消耗，耗尽 
split, 劈开；割裂；分裂 a裂开的 
spit, 吐（唾液等）；唾弃 
spill, 溢出，溅出，倒出 
slip, 滑动，滑落；忽略 
slide, 滑动，滑落 n 滑动；滑面；幻灯片 
bacteria, 细菌 
breed, 种，品种 v 繁殖，产仔 
budget, 预算 v 编预算，作安排 
candidate, 候选人 
campus, 校园 
liberal, 慷慨的；丰富的；自由的 
transform, 转变，变革；变换 
transmit, 传播，播送；传递 
transplant, 移植 
transport, 运输，运送 n 运输，运输工具 
shift, 转移；转动；转变 
vary, 变化，改变；使多样化 
vanish, 消灭，不见 
swallow, 吞下，咽下 n 燕子 
suspicion, 怀疑，疑心 
suspicious, 怀疑的，可疑的 
mild, 温暖的，暖和的；温柔的，味淡的 
tender, 温柔的；脆弱的 
nuisance, 损害，妨害，讨厌（的人或事物） 
insignificant, 无意义的，无足轻重的；无价值的 
accelerate, 加速，促进 
absolute, 绝对的，无条件的；完全的 
boundary, 分界线，边界 
brake, 刹车，制动器 v 刹住（车） 
catalog, 目录（册） v 编目 
vague, 模糊的，不明确的 
vain, 徒劳，白费 
extinct, 绝灭的，熄灭的 
extraordinary, 不平常的，特别的，非凡的 
extreme, 极度的，极端的 n 极端，过分 
agent, 代理人，代理商；动因，原因 
alcohol, 含酒精的饮料，酒精 
appeal,/vi 呼吁，恳求 
appreciate, 重视，赏识，欣赏 
approve, 赞成，同意，批准 
stimulate, 刺激，激励 
acquire, 取得，获得；学到 
accomplish,完成，到达；实行 
network, 网状物；广播网，电视网；网络 
tide, 潮汐；潮流 
tidy, 整洁的，整齐的 
trace, 追踪，找到 n 痕迹，踪迹 
torture,/vt 拷打，折磨 
wander, 漫游，闲逛 
wax, 蜡 
weave, 织，编 
preserve, 保护，保存，保持，维持 
abuse, 滥用，虐待；谩骂 
academic, 学术的；高等院校的；研究院的 
academy, （高等）专科院校；学会 
battery, 电池（组） 
barrier, 障碍；棚栏 
cargo, （船、飞机等装载的）货物 
career, 生涯，职业 
vessel, 船舶；容器，器皿；血管 
vertical, 垂直的 
oblige, 迫使，责成；使感激 
obscure, 阴暗，模糊 
extent, 程度，范围，大小，限度 
exterior, 外部，外表 a 外部的，外表的 
external, 外部的，外表的，外面的 
petrol, 汽油 
petroleum, 石油 
delay,/n 推迟，延误，耽搁 
decay, 腐烂，腐朽 
decent, 像样的，体面的 
route, 路；路线；航线 
ruin, 毁坏，破坏 n 毁灭，[pl]废墟 
sake, 缘故，理由 
satellite, 卫星 
scale, 大小，规模；等级；刻度 
temple, 庙宇 
tedious, 乏味道，单调的， 
tend,易于，趋向 
tendency,趋向，趋势 
ultimate, 极端的，最大的，最终的 n 极端 
undergo, 经历，遭受 
abundant, 丰富的，充裕的，大量的 
adopt, 收养；采用；采纳 
adapt, 适应，适合；改编，改写 vt 使适应 
bachelor, 学士，学士学位；单身汉 
casual, 偶然的，碰巧的；临时的；非正式的 
trap, 陷阱，圈套 v 设陷阱捕捉
vacant, 空的，未占用的 
vacuum, 真空，真空吸尘器 
oral, 口头的，口述的，口的 
optics, （单、复数同形）光学 
organ, 器官，风琴 
excess, 过分，过量，过剩 
expel, 驱逐，开除，赶出 
expend, 消费 
expenditure, 支出，消费；经费 
expense, 开销，费用 
expensive, 花钱多的；价格高贵的 
expand, 扩大，扩张；展开，膨胀 
expansion, 扩大，扩充；发展，膨胀 
private, 私人的，个人的 
individual, 个别的，单独的 n 个人，个体 
personal, 个人的，私人的；亲自的 
personnel, [总称]人员，员工；人事部门 
the,
the,
the,
the,
grant, 授予，同意，准予 
grand, 宏伟大，壮丽的，重大的 
invade, 侵入，侵略，侵袭 
acid, 酸，酸性物质 a 酸的；尖刻的 
acknowledge, 承认；致谢 
balcony, 阳台 
calculate, 计算，核算 
calendar, 日历，月历 
optimistic, 乐观 
optional, 可以任选的，非强制的 
outstanding, 杰出的，突出的，显著的 
export, 出口（物） v 出口，输出 
import, 进口（物） v 进口，输入 
impose, 把加强(on)；采用，利用 
religion, 宗教，宗教信仰 
religious, 宗教的 
victim, 牺牲品，受害者 
video, 电视，视频 a 电视的，录像的 
videotape, 录像磁带 v 把录在录像带上 
offend, 冒犯，触犯 
bother, 打搅，麻烦 
interfere, 干涉，干扰，妨碍 
internal, 内部的，国内的 
beforehand, 预先，事先 
racial, 人种的种族的 
radiation, 放射物，辐射 
radical,根本的；激进的 
range, 幅度，范围 v （在某范围内）变动 
wonder, 惊奇，奇迹 v 想知道，对感到疑惑 
isolate, 使隔离，使孤立 
issue, 问题，争论点；发行，（报刊）一期 
hollow, 空的，中空的，空虚道 
hook, 钩 vt 钩住 
adequate, 适当地；足够 
adhere, 粘附，附着；遵守，坚持 
ban, 取缔，禁止 
capture, 俘虏，捕获 
valid, 有效的，有根据的；正当的 
valley, 山谷，峡谷 
consistent, 坚固定；一致的，始终如一的 
continuous, 继续的，连续（不断）的 
continual, 不断地，频繁的 
explode, 爆炸；爆发；激增 
exploit, 剥削；利用，开采 
explore, 勘探 
explosion, 爆炸；爆发；激增 
explosive, 爆炸的；极易引起争论的 
remote, 遥远的，偏僻的 
removal, 除去，消除 
render, 使得，致使 
precaution, 预防，防备，警惕 
idle, 懒散的，无所事事的 
identify, 认出，鉴定 
identify, 身份；个性，特性 
poverty, 贫穷 
resistant, (to)抵抗的，抗的，耐的 
resolve, 解决；决定，决意 
barrel, 桶 
bargain, 便宜货 vi 讨价还价 
coarse, 粗的，粗糙的，粗劣的 
coach, 教练；长途公共汽车 
code, 准则，法规，密码 
coil, 线圈 v 卷，盘绕 
adult, 成年人 
advertise, 为做广告 
advertisement, 广告 
agency, 代理商，经销商 
focus, （使）聚集 n 焦点，中心，聚焦 
forbid, 不许，禁止 
debate,/v 辩论，争论 
debt, 欠债 
decade, 十年 
enclose, 围住；把装入信封 
encounter,/n 遭遇，遭到 
globe, 地球，世界；地球仪 
global, 全球的；总的 
scan, 细看；扫描；浏览 
scandal, 丑事，丑闻 
significance, 意义；重要性 
subsequent, 随后的，后来的 
virtue, 美德，优点 
virtual, 实际上的，事实上的 
orient," 使适应，(to,toward)使朝向 n 东方 "
portion, 一部分 
target, 目标，靶子 vt 瞄准 
portable, 手提式的 
decline, 拒绝，谢绝；下降 
illusion, 错觉 
likelihood, 可能，可能性 
stripe, 条纹 
emphasize, 强调，着重 
emotion, 情感，感情 
emotional, 感情的，情绪（上）的 
awful, 极坏的，威严的，可怕的 
awkward, 笨拙的，棘手的 
clue, 线索，提示 
collision, 碰撞，冲突 
device, 装置，设备 
devise, 发明，策划，想出 
inevitable, 不可避免的 
naval, 海军的 
navigation, 航行 
necessity, 必需品；必要性 
previous, 先，前，以前的 
provision, [pl]给养，口粮；准备，设备，装置 
pursue, 追逐；追求；从事，进行 
stale, 不新鲜的，陈腐的 
substitute, 代用品 vt 代替 
deserve, 应受，应得，值得 
discrimination, 歧视；辨别力 
professional, 职业的，专门的 
secure, 安全的，可靠的 
security, 安全，保障 
scratch,/n 抓，搔，扒 
talent, 才能，天资；人才 
insurance, 保险，保险费 
insure, 给保险，保证，确保 
nevertheless, 仍然，然而，不过 
neutral, 中立的，中性的 
spot, 地点；斑点 vt 认出，发现；玷污 
spray, 喷，（使）溅散 
medium, 中等的，适中的 n 媒介物，新闻媒介 
media, 新闻传媒 
auxiliary, 辅助的，备用的 
automatic, 自动的 
compete, 竞争，比赛 
competent, 有能力的，能胜任的 
competition, 竞争，比赛 
distribute, 分发 
disturb, 打搅，妨碍 
infer, 推论，推断 
integrate," (into,with)（使）成为一体，（使）合并 "
moist, 潮湿 
moisture, 潮湿 
promote, 促进；提升 
region, 地区；范围；幅度 
register,/n登记，注册 
stable, 稳定的 
sophisticated, 老于世故的，老练的；很复杂的 
splendid, 极好的，壮丽的，辉煌的 
cancel, 取消，废除 
variable, 易变的，可变的 
prospect, 前景，前途；景象 
prosperity,兴旺，繁荣 
aspect, 方面；朝向；面貌 
cope, (with)（成功地）应付，处理 
core, 果心，核心 
maintain, 维持，保持；坚持，主张 
mainland, 大陆 
discipline, 纪律；惩罚；学科 
domestic, 本国的，国内的；家用的；家庭的 
constant, 不变的，恒定的 n 常数 
cliff, 悬崖，峭壁 
authority, 权威；当局 
audio, 听觉 
attitude, 态度 
community, 社区，社会 
commit, 犯（错误，罪行等），干（坏事等） 
comment,/vt 评论 
distinguish, 区分，辨别 
distress, 痛苦，悲伤 vt 使痛苦 
facility, [pl] 设备，设施；便利，方便 
faculty, 能力，技能；系，学科，学院；全体教员 
mixture, 混合，混合物 
mood, 心情，情绪；语气 
moral, 道德上的，有道德的 
prominent, 突出的 
substance, 物质；实质 
substantial, 可观的；牢固的；实质的 
prompt, 促使 a 敏捷的，及时的 
vivid, 生动的 
vocabulary, 词汇（量）；词汇表 
venture, 风险投资，风险项目 v 冒险；取于 
version, 版本，译本；说法 
waist, 腰，腰部 
weld,/n 焊接 
yawn, 打哈欠 
yield, (to)屈服于；让出，放弃 n 产量 
zone, 地区，区域 
strategy, 战略，策略 
strategic, 战略（上）的，关键的 
tense, 紧张的 v 拉紧 n 时态 
tension, 紧张（状态），张力 
avenue, 林荫道，大街 
available, 现成可用的；可得到的 
comparable," (with,to)可比较的，类似的 "
comparative, 比较的，相对的 
dash, 猛冲，飞奔 
data, 数据，资料 
dive, 跳水，潜水 
diverse, 不同的，多种多样的 
entitle, 给权利，给资格 
regulate, 管理，调节 
release,/n 释放，排放；解释解脱 
exaggerate, 夸大，夸张 
evil, 邪恶的，坏的 
shrink, 起皱，收缩；退缩 
subtract, 减（去） 
suburb, 市郊 
subway, 地铁 
survey,/vt 调查，勘测 
wealthy, 富裕的 
adjust, 调整，调节 
attach, 系，贴；使附属 
profit, 利润，益处；v 有益于，有利于 
profitable, 有利可图的 
slope, 斜坡，斜面 
reinforce, 增强，加强 
