mercy,"n.仁慈,怜悯,宽恕"
mere,"a.纯粹的;仅仅,只不过"
merely,adv.仅仅，只不过
merge,v.(使)结合，(使)合并，(使)合为一体
merit,"n.优点,价值,功绩 v.值得,应得"
merry,"a.欢乐的,愉快的"
mess,"n.混乱,混杂,脏乱 v.弄脏,弄乱,搞糟"
message,"n.消息,信息,通讯,启示,教训,广告词,预言"
messenger,"n.送信者,使者,传令兵"
metal,"n.金属,金属制品"
metaphor,n.隐喻，暗喻
method,"n.方法,办法"
metre,n.(meter)米，公尺；仪表，计量器
metric,"a.米制的,公制的"
metropolitan,"a.首都的,主要都市的,大城市"
microphone,"n.话筒,扩音器"
microscope,n.显微镜
middle,"n./a.中间(的),当中(的)"
midst,"n.中间,当中"
might,"aux.v.可能,也许 n.力量,威力,权力"
migrate,"v.迁移,移居(国外)"
mild,"a.温和的,轻微的,味淡的,不含有害物质的的"
mile,n.英里，哩，海里
militant,a.好战的，富于战斗性的 n.斗士
military,"a.军事的,军用的,军队的"
milk,n.牛奶；(植物流出的)白色乳液 v.挤奶
mill,"n.磨粉机,磨坊;作坊,工厂"
millimeter,n.(millimetre)毫米
million,"num./n.百万,百万个"
millionaire,n.百万富翁
mind,"n.精神,理智,意见,记忆力 v.注意,介意,反对"
mine,pron.(I的物主代词)我的(东西)n.矿 v.采矿
mineral,"n.矿物,矿石 a.矿物的,矿质的"
mingle,v.(使)混合
miniature,"n.缩小的模型,缩图 a.微型的,缩小的"
minimize,"v.(minimize)使减少到最少,使降到最低"
minimum,"n.最小值,最低限度 a.最小的,最低的"
minister,"n.部长,大臣"
ministry,n.(政府的)部;牧师
minor,"a.较小的,较小的 n.兼修学科 v.(in)兼修"
minority,"n.少数,少数派,少数民族"
minus,"a.负的,减的 prep.减去 n.负号,减号"
minute,"n.分钟,片刻;(pl.)会议记录a.微小的,微细的"
miracle,"n.奇迹,令人惊奇的人(或事)"
mirror,"n.镜子;反映,反射 v.反映,反射"
mischief,"n.损害,伤害,危害;恶作剧,胡闹;灾祸"
miserable,"a.痛苦的,悲惨的"
